company_id,sector,overall_cx_score
COMP_00186,4,50.59523809523808
COMP_00187,4,75.79365079365078
COMP_00188,4,18.849206349206348
COMP_00189,5,90.87301587301587
COMP_00190,9,61.111111111111114
COMP_00191,632,76.98412698412699
COMP_00192,5,21.57738095238095
COMP_00193,7,81.74603174603173
COMP_00194,5,71.76824090404337
COMP_00195,9,95.03968253968254
COMP_00196,9,85.71428571428572
COMP_00197,9,83.33333333333333
COMP_00198,7,24.999999999999996
COMP_00199,5,67.06349206349206
COMP_00200,5,59.788359788359784
COMP_00201,633,71.42857142857143
COMP_00202,633,69.18498168498168
COMP_00203,1,0.0
COMP_00204,9,63.88888888888888
COMP_00205,9,71.42857142857143
COMP_00206,4,78.96825396825396
COMP_00207,9,19.44444444444444
COMP_00208,632,65.47619047619047
COMP_00209,9,85.7142857142857
COMP_00210,2,65.07936507936508
COMP_00211,4,91.66666666666667
COMP_00212,632,80.95238095238095
COMP_00213,7,21.626984126984123
COMP_00214,9,71.84343434343434
COMP_00215,9,71.42857142857143
COMP_00216,9,74.80158730158729
COMP_00217,5,57.27513227513227
COMP_00218,5,63.453159041394336
COMP_00218,8,69.84126984126983
COMP_00219,4,74.20634920634922
COMP_00220,632,67.06349206349206
COMP_00221,7,97.61904761904762
COMP_00222,6,92.65873015873017
COMP_00223,9,48.41269841269841
COMP_00224,5,28.96825396825397
COMP_00225,5,45.23809523809523
COMP_00226,9,96.42857142857143
COMP_00227,632,19.841269841269842
COMP_00228,9,90.60846560846561
COMP_00229,8,71.42857142857143
COMP_00230,634,76.5873015873016
COMP_00231,9,76.98412698412699
COMP_00232,4,66.66666666666666
COMP_00233,9,92.85714285714286
COMP_00234,1,0.0
COMP_00235,633,42.85714285714284
COMP_00236,9,84.52380952380952
COMP_00237,7,54.36507936507935
COMP_00238,9,67.85714285714286
COMP_00239,8,42.063492063492056
COMP_00240,7,78.67965367965367
COMP_00241,9,85.71428571428572
COMP_00242,4,100.0
COMP_00243,4,62.6984126984127
COMP_00244,9,71.42857142857143
COMP_00245,4,32.14285714285714
COMP_00246,9,89.68253968253968
COMP_00247,9,85.7142857142857
COMP_00248,4,92.85714285714286
COMP_00249,9,14.285714285714285
COMP_00250,9,71.42857142857142
COMP_00251,9,75.16507936507935
COMP_00252,4,84.12698412698413
COMP_00253,4,96.42857142857142
COMP_00254,5,100.0
COMP_00255,9,65.23809523809523
COMP_00256,4,76.58730158730158
COMP_00257,7,84.96472663139329
COMP_00257,9,68.25396825396824
COMP_00258,4,85.3174603174603
COMP_00259,9,40.87301587301588
COMP_00260,5,76.5873015873016
COMP_00261,633,41.825396825396815
COMP_00262,4,75.79365079365081
COMP_00263,6,92.85714285714286
COMP_00264,632,71.42857142857143
COMP_00265,9,76.58730158730158
COMP_00266,4,73.80952380952381
COMP_00267,9,65.47619047619047
COMP_00268,4,95.63492063492065
COMP_00269,9,73.01587301587301
COMP_00270,9,71.42857142857143
COMP_00271,4,65.87301587301587
COMP_00272,9,71.42857142857142
COMP_00273,3,28.968253968253965
COMP_00274,1,0.0
COMP_00275,4,86.50793650793649
COMP_00276,9,80.55555555555556
COMP_00277,632,85.3174603174603
COMP_00278,9,72.61904761904762
COMP_00279,9,100.0
COMP_00280,9,84.87103174603173
COMP_00281,633,95.23809523809523
COMP_00282,633,60.317460317460316
COMP_00283,5,39.68253968253968
COMP_00284,5,70.23809523809523
COMP_00285,3,34.12698412698412
COMP_00286,4,61.5079365079365
COMP_00287,8,71.77039132484677
COMP_00288,3,67.08238851095993
COMP_00289,3,54.36507936507935
COMP_00290,4,65.07936507936508
COMP_00291,9,84.12698412698413
COMP_00292,4,53.769841269841265
COMP_00293,633,80.66289357272964
COMP_00294,1,0.0
COMP_00295,9,90.67460317460315
COMP_00296,633,73.11507936507935
COMP_00297,4,99.60317460317461
COMP_00298,4,49.206349206349195
COMP_00299,9,71.42857142857143
COMP_00300,632,85.7142857142857
COMP_00301,9,89.0873015873016
COMP_00302,9,92.06349206349206
COMP_00303,5,14.285714285714285
COMP_00304,633,55.75396825396825
COMP_00305,634,74.99999999999997
COMP_00306,4,67.06349206349205
COMP_00307,9,69.27736006683375
COMP_00308,3,79.36507936507935
COMP_00309,4,54.563492063492056
COMP_00310,4,87.30158730158729
COMP_00311,3,78.57142857142857
COMP_00312,7,57.14285714285714
COMP_00312,9,59.52380952380952
COMP_00313,9,88.09523809523809
COMP_00314,7,94.04761904761904
COMP_00315,7,79.36507936507937
COMP_00316,4,96.16402116402116
COMP_00317,5,80.95238095238096
COMP_00318,9,86.11111111111111
COMP_00319,4,71.42857142857143
COMP_00320,5,70.33730158730158
COMP_00321,632,97.61904761904762
COMP_00322,6,51.19047619047619
COMP_00323,5,28.96825396825397
COMP_00324,4,89.68253968253968
COMP_00325,9,88.88888888888889
COMP_00326,4,22.08994708994709
COMP_00327,9,50.39682539682539
COMP_00328,9,41.66666666666666
COMP_00329,9,74.60317460317461
